x_m,y_m,w_tr_left_m,w_tr_right_m
-1065.210333,-160.7009,5.627858,5.627858
-1067.03356,-165.2189,5.647757,5.647757
-1068.864152,-169.7693,5.662304,5.662304
-1070.674318,-174.2927,5.668081,5.668081
-1072.481798,-178.8171,5.676745,5.676745
-1074.28903,-183.3416,5.685675,5.685675
-1076.095107,-187.8341,5.705539,5.705539
-1077.914233,-192.3538,5.727334,5.727334
-1079.737602,-196.8717,5.744572,5.744572
-1081.562783,-201.5032,5.714749,5.714749
-1083.402732,-206.4132,5.611667,5.611667
-1085.032816,-210.9924,5.419253,5.419253
-1086.45482,-215.2504,5.125002,5.125002
-1088.267612,-219.7723,5.090473,5.090473
-1090.073065,-224.2017,5.083698,5.083698
-1091.925404,-228.708,5.091713,5.091713
-1093.810312,-233.3159,5.1033,5.1033
-1095.59761,-237.8482,5.079666,5.079666
-1097.384907,-242.3805,5.056033,5.056033
-1099.150011,-246.8485,5.03543,5.03543
-1100.967867,-251.3688,5.044632,5.044632
-1102.785519,-255.8891,5.054052,5.054052
-1104.603088,-260.4095,5.063562,5.063562
-1106.422035,-264.8915,5.088859,5.088859
-1108.256078,-269.405,5.114102,5.114102
-1110.112143,-274.0064,5.118983,5.118983
-1111.910387,-278.5344,5.097611,5.097611
-1113.708632,-283.0623,5.076239,5.076239
-1115.512385,-287.5555,5.053953,5.053953
-1117.337293,-292.0728,5.032917,5.032917
-1119.149601,-296.5581,5.012152,5.012152
-1120.990044,-301.0693,5.007829,5.007829
-1122.813682,-305.587,5.021577,5.021577
-1124.623731,-310.1102,5.049936,5.049936
-1126.443782,-314.6759,5.071702,5.071702
-1128.235157,-319.2067,5.078759,5.078759
-1130.043071,-323.7309,5.068012,5.068012
-1131.850986,-328.2552,5.057265,5.057265
-1133.658424,-332.7581,5.053965,5.053965
-1135.475276,-337.2788,5.052831,5.052831
-1137.292247,-341.7995,5.05157,5.05157
-1139.109385,-346.32,5.050127,5.050127
-1140.926871,-350.8558,5.043361,5.043361
-1142.737619,-355.3789,5.035042,5.035042
-1144.549524,-359.9016,5.025472,5.025472
-1146.368638,-364.4212,5.00811,5.00811
-1148.184516,-368.9236,4.994179,4.994179
-1150.011474,-373.4402,4.985247,4.985247
-1151.825626,-377.9617,4.990041,4.990041
-1153.604034,-382.4971,5.033148,5.033148
-1155.367656,-386.9842,5.080786,5.080786
-1157.194459,-391.4999,5.119845,5.119845
-1159.057109,-396.0019,5.120552,5.120552
-1160.919758,-400.5039,5.121258,5.121258
-1162.768403,-405.0113,5.136988,5.136988
-1164.373729,-408.9678,5.245019,5.245019
-1166.449789,-413.3423,5.555928,5.555928
-1168.65767,-418.348,5.691247,5.691247
-1170.515081,-422.8516,5.731223,5.731223
-1172.37243,-427.4918,5.719422,5.719422
-1174.171354,-432.0197,5.71553,5.71553
-1175.968915,-436.548,5.713106,5.713106
-1177.756968,-441.0179,5.723703,5.723703
-1179.57736,-445.537,5.745928,5.745928
-1181.402579,-450.0542,5.762963,5.762963
-1183.24007,-454.5665,5.7668,5.7668
-1185.076236,-459.0709,5.772435,5.772435
-1186.91681,-463.5819,5.779605,5.779605
-1188.784558,-468.205,5.778276,5.778276
-1190.568731,-472.7384,5.750039,5.750039
-1192.352905,-477.2718,5.721802,5.721802
-1194.184214,-482.2972,5.580342,5.580342
-1195.760378,-486.7893,5.365093,5.365093
-1197.348891,-491.2484,5.174262,5.174262
-1199.054283,-495.5075,5.167665,5.167665
-1200.865425,-500.0305,5.168885,5.168885
-1202.676567,-504.5535,5.170104,5.170104
-1204.403059,-509.1066,5.261127,5.261127
